1.736546e+01  1.100900e+00 -2.718057e-01  4.137265e-01  1.485158e-01  2.828679e+00  4.561778e-01  1.718503e+00 
1.932529e+01  1.111030e+00 -2.709228e-01  4.151030e-01  1.501346e-01  2.783883e+00  4.558568e-01  1.702127e+00 
1.875797e+01  1.109370e+00 -2.694033e-01  4.158863e-01  1.496309e-01  2.618220e+00  4.564235e-01  1.700296e+00 
1.884812e+01  1.115429e+00 -2.681443e-01  4.166425e-01  1.497459e-01  2.569843e+00  4.556443e-01  1.705931e+00 
1.836682e+01  1.094934e+00 -2.683748e-01  4.156169e-01  1.492783e-01  2.720388e+00  4.552085e-01  1.706670e+00 
2.855268e+01  1.108442e+00 -2.683263e-01  4.151287e-01  1.485661e-01  2.667169e+00  4.545172e-01  1.695772e+00 
2.037537e+01  1.104358e+00 -2.690213e-01  4.139728e-01  1.471832e-01  2.603719e+00  4.546844e-01  1.712825e+00 
2.214275e+01  1.110970e+00 -2.684419e-01  4.118446e-01  1.473021e-01  2.643065e+00  4.538913e-01  1.722696e+00 
1.756147e+01  1.104307e+00 -2.688220e-01  4.104262e-01  1.474482e-01  2.728955e+00  4.524651e-01  1.723391e+00 
1.827836e+01  1.105198e+00 -2.688552e-01  4.098535e-01  1.479760e-01  2.731537e+00  4.518568e-01  1.728124e+00 
1.810222e+01  1.100190e+00 -2.694026e-01  4.101812e-01  1.490697e-01  2.739761e+00  4.522803e-01  1.731233e+00 
1.869677e+01  1.070122e+00 -2.720395e-01  4.096915e-01  1.485685e-01  2.824073e+00  4.527823e-01  1.718296e+00 
1.855664e+01  1.074148e+00 -2.712128e-01  4.107545e-01  1.489998e-01  2.852414e+00  4.527572e-01  1.731367e+00 
1.766687e+01  1.078641e+00 -2.715435e-01  4.108130e-01  1.487052e-01  2.851958e+00  4.533836e-01  1.717038e+00 
1.757721e+01  1.069246e+00 -2.720512e-01  4.115198e-01  1.465744e-01  2.882430e+00  4.544502e-01  1.712680e+00 
1.994209e+01  1.073039e+00 -2.724936e-01  4.131424e-01  1.467253e-01  2.855840e+00  4.539939e-01  1.706385e+00 
1.841956e+01  1.078266e+00 -2.730943e-01  4.119584e-01  1.459590e-01  2.880157e+00  4.532738e-01  1.684414e+00 
1.816368e+01  1.071736e+00 -2.719188e-01  4.139471e-01  1.470593e-01  2.819293e+00  4.541002e-01  1.679424e+00 
1.932048e+01  1.076689e+00 -2.722711e-01  4.127639e-01  1.457880e-01  2.722283e+00  4.540378e-01  1.682528e+00 
2.250489e+01  1.075838e+00 -2.714432e-01  4.121405e-01  1.459221e-01  2.851492e+00  4.537605e-01  1.686221e+00 
1.942287e+01  1.064510e+00 -2.710086e-01  4.119908e-01  1.461322e-01  2.772108e+00  4.522045e-01  1.671950e+00 
2.326107e+01  1.071023e+00 -2.726666e-01  4.121404e-01  1.456742e-01  2.775594e+00  4.510333e-01  1.674071e+00 
2.864820e+01  1.081838e+00 -2.724503e-01  4.108299e-01  1.447286e-01  2.847067e+00  4.510147e-01  1.689567e+00 
2.786714e+01  1.071187e+00 -2.739862e-01  4.101183e-01  1.461409e-01  2.691551e+00  4.496339e-01  1.680561e+00 
2.488074e+01  1.084869e+00 -2.744090e-01  4.087907e-01  1.466192e-01  2.859349e+00  4.494124e-01  1.666064e+00 
3.279850e+01  1.091658e+00 -2.755832e-01  4.082302e-01  1.461504e-01  2.960280e+00  4.476732e-01  1.674168e+00 
2.866495e+01  1.088531e+00 -2.743990e-01  4.096656e-01  1.472685e-01  2.896910e+00  4.484534e-01  1.669957e+00 
2.335664e+01  1.093006e+00 -2.735204e-01  4.085533e-01  1.484264e-01  2.915031e+00  4.487561e-01  1.672083e+00 
2.324996e+01  1.104091e+00 -2.755875e-01  4.073927e-01  1.485776e-01  2.896716e+00  4.481062e-01  1.675542e+00 
2.777564e+01  1.096892e+00 -2.758469e-01  4.074892e-01  1.502735e-01  2.785568e+00  4.487285e-01  1.685520e+00 
3.049205e+01  1.103176e+00 -2.763895e-01  4.071157e-01  1.491994e-01  2.757177e+00  4.469518e-01  1.685791e+00 
3.684183e+01  1.092531e+00 -2.758398e-01  4.078188e-01  1.482570e-01  2.720530e+00  4.473667e-01  1.686407e+00 
3.364633e+01  1.070021e+00 -2.755076e-01  4.066579e-01  1.471138e-01  2.809387e+00  4.472551e-01  1.691566e+00 
3.206191e+01  1.055429e+00 -2.735754e-01  4.069124e-01  1.458747e-01  2.822099e+00  4.471536e-01  1.675824e+00 
2.888575e+01  1.066103e+00 -2.730789e-01  4.066473e-01  1.468234e-01  2.864449e+00  4.475604e-01  1.667378e+00 
2.268895e+01  1.066167e+00 -2.736130e-01  4.068962e-01  1.480405e-01  2.836326e+00  4.481801e-01  1.682895e+00 
2.308153e+01  1.060566e+00 -2.732062e-01  4.067202e-01  1.471131e-01  2.979194e+00  4.477141e-01  1.676127e+00 
2.184858e+01  1.058073e+00 -2.738546e-01  4.061481e-01  1.461616e-01  3.067569e+00  4.485805e-01  1.691238e+00 
2.966260e+01  1.057785e+00 -2.748404e-01  4.068669e-01  1.431574e-01  3.172553e+00  4.506281e-01  1.686866e+00 
2.691043e+01  1.039277e+00 -2.748822e-01  4.077629e-01  1.413127e-01  3.104513e+00  4.502959e-01  1.691331e+00 
2.727637e+01  1.040296e+00 -2.749950e-01  4.077071e-01  1.417385e-01  3.012394e+00  4.499658e-01  1.686575e+00 
2.921987e+01  1.049260e+00 -2.754606e-01  4.060405e-01  1.427403e-01  3.055305e+00  4.490681e-01  1.672186e+00 
2.158998e+01  1.065316e+00 -2.750152e-01  4.080257e-01  1.436878e-01  3.029939e+00  4.495383e-01  1.668726e+00 
2.681467e+01  1.068658e+00 -2.738153e-01  4.069350e-01  1.447876e-01  3.102456e+00  4.487327e-01  1.670681e+00 
2.181329e+01  1.077839e+00 -2.728069e-01  4.061870e-01  1.453166e-01  2.973216e+00  4.481692e-01  1.682103e+00 
2.705873e+01  1.077122e+00 -2.731879e-01  4.069305e-01  1.453552e-01  2.920942e+00  4.485814e-01  1.671437e+00 
3.070821e+01  1.066375e+00 -2.723664e-01  4.063854e-01  1.463362e-01  2.872072e+00  4.481357e-01  1.675750e+00 
2.497016e+01  1.050943e+00 -2.737898e-01  4.075334e-01  1.471976e-01  3.021076e+00  4.489516e-01  1.678874e+00 
2.198393e+01  1.042945e+00 -2.731898e-01  4.064647e-01  1.457007e-01  2.975735e+00  4.484870e-01  1.682810e+00 
2.097154e+01  1.030076e+00 -2.727058e-01  4.067442e-01  1.450099e-01  2.988680e+00  4.495152e-01  1.690588e+00 
2.690807e+01  1.021378e+00 -2.735828e-01  4.073486e-01  1.441163e-01  3.125090e+00  4.482944e-01  1.684313e+00 
2.645959e+01  1.028899e+00 -2.727654e-01  4.069481e-01  1.446709e-01  3.123141e+00  4.479255e-01  1.685757e+00 
2.904020e+01  1.017863e+00 -2.737999e-01  4.068026e-01  1.468713e-01  3.079691e+00  4.481420e-01  1.698703e+00 
3.247713e+01  1.011526e+00 -2.743632e-01  4.062583e-01  1.468390e-01  3.158021e+00  4.477295e-01  1.696799e+00 
2.904048e+01  1.024067e+00 -2.725090e-01  4.059288e-01  1.484449e-01  3.084759e+00  4.491937e-01  1.707287e+00 
2.517082e+01  9.977871e-01 -2.737661e-01  4.060419e-01  1.469982e-01  3.273532e+00  4.489342e-01  1.696742e+00 
2.535823e+01  9.932404e-01 -2.747664e-01  4.055803e-01  1.475645e-01  3.149319e+00  4.479769e-01  1.690082e+00 
2.276509e+01  1.014423e+00 -2.739093e-01  4.055283e-01  1.466992e-01  3.126702e+00  4.481759e-01  1.693700e+00 
2.432564e+01  1.007947e+00 -2.738674e-01  4.059776e-01  1.472835e-01  3.034047e+00  4.481979e-01  1.688514e+00 
2.452918e+01  1.013779e+00 -2.738289e-01  4.059767e-01  1.483099e-01  3.066543e+00  4.474491e-01  1.684100e+00 
2.435053e+01  1.015480e+00 -2.733560e-01  4.044960e-01  1.477828e-01  3.164429e+00  4.462837e-01  1.688024e+00 
2.370120e+01  1.001463e+00 -2.753124e-01  4.057758e-01  1.474873e-01  3.043740e+00  4.474824e-01  1.682656e+00 
2.396462e+01  1.007476e+00 -2.744811e-01  4.072845e-01  1.482142e-01  3.332435e+00  4.483428e-01  1.681581e+00 
2.342050e+01  1.010065e+00 -2.749628e-01  4.067417e-01  1.458035e-01  3.238159e+00  4.486906e-01  1.679621e+00 
2.380468e+01  1.016212e+00 -2.755283e-01  4.064454e-01  1.449999e-01  3.208404e+00  4.479737e-01  1.669381e+00 
2.790022e+01  1.025213e+00 -2.739855e-01  4.053308e-01  1.449467e-01  3.322583e+00  4.480935e-01  1.682143e+00 
3.494040e+01  1.044234e+00 -2.742460e-01  4.058211e-01  1.452698e-01  3.422083e+00  4.474393e-01  1.690513e+00 
2.715327e+01  1.051273e+00 -2.726352e-01  4.048720e-01  1.442112e-01  3.435026e+00  4.470111e-01  1.703953e+00 
2.584841e+01  1.056482e+00 -2.717334e-01  4.040989e-01  1.476059e-01  3.608934e+00  4.475936e-01  1.709314e+00 
2.591569e+01  1.068191e+00 -2.723100e-01  4.059483e-01  1.464910e-01  3.633880e+00  4.487387e-01  1.696270e+00 
2.397221e+01  1.068371e+00 -2.743536e-01  4.059470e-01  1.474773e-01  3.573494e+00  4.483970e-01  1.697121e+00 
2.490664e+01  1.086532e+00 -2.731381e-01  4.067173e-01  1.471021e-01  3.379068e+00  4.486734e-01  1.687386e+00 
2.475543e+01  1.081242e+00 -2.735812e-01  4.059001e-01  1.441592e-01  3.379782e+00  4.485670e-01  1.681213e+00 
2.626683e+01  1.060697e+00 -2.748493e-01  4.061010e-01  1.444514e-01  3.460141e+00  4.482437e-01  1.673471e+00 
3.160157e+01  1.049281e+00 -2.738834e-01  4.057780e-01  1.457209e-01  3.587348e+00  4.468421e-01  1.663741e+00 
2.890685e+01  1.055660e+00 -2.725892e-01  4.060509e-01  1.450099e-01  3.495446e+00  4.461044e-01  1.652254e+00 
2.589561e+01  1.047141e+00 -2.721132e-01  4.062743e-01  1.453855e-01  3.514924e+00  4.471574e-01  1.667281e+00 
2.611543e+01  1.058327e+00 -2.714295e-01  4.070942e-01  1.449554e-01  3.600162e+00  4.475023e-01  1.661765e+00 
