8.876839e+02 -3.000000e-01  4.000000e-01  2.000000e-01  0.000000e+00 
4.429624e+02 -3.005181e-01  4.022497e-01  1.947207e-01  2.020680e-01 
1.877535e+02 -2.848463e-01  3.869191e-01  2.026132e-01 -9.811695e-01 
9.073072e+01 -2.694236e-01  4.009400e-01  2.122235e-01 -2.027521e+00 
8.692682e+01 -2.697222e-01  3.988090e-01  2.088952e-01 -2.291900e+00 
6.956827e+01 -2.683397e-01  3.973613e-01  1.915527e-01 -1.829100e+00 
6.526702e+01 -2.674490e-01  3.970292e-01  1.858254e-01 -1.301317e+00 
5.820221e+01 -2.699638e-01  3.964980e-01  1.856567e-01 -1.129011e+00 
4.785090e+01 -2.717899e-01  3.961935e-01  1.897835e-01  1.256848e+00 
2.777631e+01 -2.760369e-01  3.948427e-01  1.853521e-01  1.911670e+00 
2.837022e+01 -2.757319e-01  3.964144e-01  1.883127e-01  2.915341e+00 
2.016572e+01 -2.758511e-01  3.995463e-01  2.014108e-01  2.371471e+00 
2.158030e+01 -2.797738e-01  4.000709e-01  2.016602e-01  4.143720e+00 
2.427024e+01 -2.751202e-01  3.969750e-01  1.926487e-01  2.131545e+00 
1.697516e+01 -2.785371e-01  3.978259e-01  1.939509e-01  3.028014e+00 
1.659564e+01 -2.790964e-01  3.998379e-01  2.045304e-01  3.301510e+00 
1.640354e+01 -2.779295e-01  4.007449e-01  2.086635e-01  3.198210e+00 
1.489855e+01 -2.629418e-01  4.162065e-01  2.031387e-01  3.681648e+00 
1.510742e+01 -2.599852e-01  4.168646e-01  2.027572e-01  2.469590e+00 
1.663499e+01 -2.658088e-01  4.162705e-01  2.050603e-01  4.268361e+00 
1.452235e+01 -2.646230e-01  4.135499e-01  1.947471e-01  3.920994e+00 
1.382724e+01 -2.635778e-01  4.151205e-01  2.003948e-01  3.797616e+00 
1.333702e+01 -2.626163e-01  4.150208e-01  1.998368e-01  3.319358e+00 
1.714262e+01 -2.645841e-01  4.130278e-01  1.950899e-01  3.684373e+00 
1.253516e+01 -2.620175e-01  4.139584e-01  1.976960e-01  2.695314e+00 
1.305209e+01 -2.605015e-01  4.154278e-01  2.037936e-01  2.161799e+00 
1.306168e+01 -2.624461e-01  4.137760e-01  1.979112e-01  2.760906e+00 
1.141366e+01 -2.595538e-01  4.196534e-01  2.173250e-01  2.667503e+00 
1.782738e+01 -2.602818e-01  4.184694e-01  2.157427e-01  2.489800e+00 
1.534678e+01 -2.609781e-01  4.174955e-01  2.124558e-01  2.457628e+00 
1.633766e+01 -2.549759e-01  4.237499e-01  2.262025e-01  1.692806e+00 
1.489136e+01 -2.559369e-01  4.210873e-01  2.223809e-01  1.780636e+00 
1.599979e+01 -2.541713e-01  4.253233e-01  2.294436e-01  2.077546e+00 
1.773493e+01 -2.512375e-01  4.288712e-01  2.411978e-01  1.535247e+00 
2.068416e+01 -2.528642e-01  4.278852e-01  2.380235e-01  2.336599e+00 
1.006672e+01 -2.588114e-01  4.268386e-01  2.422004e-01  2.881780e+00 
1.621259e+01 -2.594774e-01  4.302900e-01  2.520839e-01  3.907267e+00 
1.438809e+01 -2.579805e-01  4.313600e-01  2.570209e-01  3.269691e+00 
1.191665e+01 -2.582237e-01  4.344569e-01  2.653041e-01  3.553289e+00 
1.179834e+01 -2.558528e-01  4.334377e-01  2.646296e-01  2.501985e+00 
1.091609e+01 -2.574508e-01  4.341577e-01  2.653973e-01  3.159919e+00 
1.083355e+01 -2.588497e-01  4.321726e-01  2.578586e-01  3.415960e+00 
1.057925e+01 -2.545427e-01  4.323627e-01  2.601143e-01  2.122119e+00 
1.538391e+01 -2.525069e-01  4.311123e-01  2.565775e-01  1.650167e+00 
1.507850e+01 -2.542734e-01  4.311417e-01  2.569384e-01  2.127716e+00 
1.475819e+01 -2.533384e-01  4.307992e-01  2.544502e-01  2.070222e+00 
1.490027e+01 -2.584869e-01  4.308890e-01  2.566844e-01  3.159349e+00 
1.416438e+01 -2.616629e-01  4.319454e-01  2.576598e-01  4.201739e+00 
1.664338e+01 -2.584322e-01  4.338871e-01  2.612042e-01  4.096445e+00 
1.111296e+01 -2.583709e-01  4.308426e-01  2.552616e-01  3.146476e+00 
1.755975e+01 -2.585016e-01  4.318850e-01  2.611267e-01  3.079285e+00 
1.320426e+01 -2.541805e-01  4.394330e-01  2.745769e-01  2.928301e+00 
1.141435e+01 -2.553216e-01  4.331601e-01  2.634433e-01  2.369896e+00 
1.575016e+01 -2.517128e-01  4.364330e-01  2.761377e-01  1.101252e+00 
1.223787e+01 -2.528914e-01  4.397238e-01  2.822769e-01  2.472870e+00 
1.279185e+01 -2.516413e-01  4.406563e-01  2.836894e-01  2.322261e+00 
1.125928e+01 -2.576988e-01  4.384471e-01  2.795404e-01  3.119982e+00 
1.142092e+01 -2.526836e-01  4.388516e-01  2.803529e-01  2.005121e+00 
1.472680e+01 -2.583374e-01  4.353066e-01  2.730821e-01  2.821236e+00 
1.366472e+01 -2.593927e-01  4.387941e-01  2.820916e-01  3.530745e+00 
1.462563e+01 -2.602847e-01  4.368477e-01  2.771093e-01  3.490413e+00 
1.716430e+01 -2.585572e-01  4.365714e-01  2.707522e-01  4.162400e+00 
1.934122e+01 -2.548270e-01  4.400507e-01  2.784038e-01  2.925228e+00 
