2.492555e+00  1.000000e+00 -2.645236e-01  3.474642e-01  1.065519e-01 -4.866229e+01  4.431656e-01  1.850725e+00  1.000000e+00  4.233168e-02 -1.419250e+02 
9.470881e+00  9.498823e-01 -2.636805e-01  3.479661e-01  1.052582e-01 -4.866992e+01  4.433443e-01  1.851613e+00  9.498823e-01  4.228644e-02 -1.419407e+02 
1.505165e+01  9.290799e-01 -2.630198e-01  3.479953e-01  1.055444e-01 -4.867612e+01  4.432279e-01  1.850472e+00  9.290799e-01  4.267459e-02 -1.419411e+02 
6.575180e+00  8.611072e-01 -2.638480e-01  3.478430e-01  1.053693e-01 -4.867222e+01  4.428511e-01  1.851160e+00  8.611072e-01  4.217905e-02 -1.419348e+02 
1.297641e+01  8.066916e-01 -2.635455e-01  3.474594e-01  1.052306e-01 -4.869188e+01  4.427598e-01  1.849694e+00  8.066916e-01  4.212988e-02 -1.419389e+02 
1.127278e+01  8.442147e-01 -2.642047e-01  3.470585e-01  1.073636e-01 -4.868796e+01  4.429925e-01  1.851528e+00  8.442147e-01  4.316037e-02 -1.419388e+02 
1.577288e+01  8.091446e-01 -2.640822e-01  3.466286e-01  1.064023e-01 -4.869270e+01  4.427099e-01  1.851379e+00  8.091446e-01  4.312455e-02 -1.419297e+02 
1.179059e+01  7.791197e-01 -2.634905e-01  3.472044e-01  1.059269e-01 -4.869019e+01  4.425679e-01  1.851756e+00  7.791197e-01  4.252451e-02 -1.419433e+02 
1.140271e+01  7.007967e-01 -2.643407e-01  3.465465e-01  1.068002e-01 -4.868775e+01  4.416997e-01  1.851378e+00  7.007967e-01  4.309815e-02 -1.419396e+02 
4.954094e+00  5.450055e-01 -2.636736e-01  3.464644e-01  1.073818e-01 -4.868778e+01  4.423668e-01  1.849205e+00  5.450055e-01  4.280413e-02 -1.419353e+02 
2.778317e+00  5.976844e-01 -2.642734e-01  3.466257e-01  1.075312e-01 -4.869092e+01  4.422394e-01  1.849525e+00  5.976844e-01  4.288086e-02 -1.419369e+02 
4.360577e+00  4.836679e-01 -2.637776e-01  3.486804e-01  1.079440e-01 -4.868064e+01  4.442667e-01  1.850163e+00  4.836679e-01  4.295209e-02 -1.419483e+02 
8.906018e+00  6.721705e-01 -2.637529e-01  3.491694e-01  1.105901e-01 -4.867178e+01  4.446125e-01  1.849059e+00  6.721705e-01  4.382705e-02 -1.419549e+02 
1.004278e+01  5.467956e-01 -2.629170e-01  3.495719e-01  1.091700e-01 -4.868010e+01  4.448557e-01  1.850118e+00  5.467956e-01  4.365188e-02 -1.419640e+02 
8.862538e+00  6.508903e-01 -2.632128e-01  3.479276e-01  1.085017e-01 -4.867267e+01  4.432283e-01  1.851810e+00  6.508903e-01  4.350818e-02 -1.419530e+02 
8.810697e+00  4.495311e-01 -2.638662e-01  3.491082e-01  1.085232e-01 -4.865558e+01  4.441363e-01  1.851846e+00  4.495311e-01  4.343457e-02 -1.419338e+02 
7.110793e+00  3.235062e-01 -2.637934e-01  3.492676e-01  1.093071e-01 -4.866528e+01  4.446526e-01  1.851691e+00  3.235062e-01  4.332617e-02 -1.419324e+02 
9.166690e+00  1.749057e-01 -2.636519e-01  3.498064e-01  1.091957e-01 -4.866773e+01  4.448704e-01  1.851064e+00  1.749057e-01  4.363661e-02 -1.419238e+02 
5.388214e+00  3.186382e-01 -2.633654e-01  3.478472e-01  1.095328e-01 -4.865535e+01  4.433756e-01  1.850771e+00  3.186382e-01  4.396096e-02 -1.419231e+02 
1.006733e+01  3.050821e-01 -2.633297e-01  3.484657e-01  1.100969e-01 -4.864884e+01  4.441793e-01  1.851405e+00  3.050821e-01  4.387703e-02 -1.419382e+02 
1.439945e+01  2.968866e-01 -2.627381e-01  3.485737e-01  1.094488e-01 -4.865676e+01  4.438879e-01  1.852592e+00  2.968866e-01  4.407414e-02 -1.419336e+02 
1.441773e+01  3.047288e-01 -2.630648e-01  3.474703e-01  1.109364e-01 -4.866791e+01  4.435860e-01  1.853352e+00  3.047288e-01  4.378584e-02 -1.419157e+02 
1.926288e+01  2.954299e-01 -2.643199e-01  3.475454e-01  1.091907e-01 -4.865051e+01  4.430123e-01  1.852492e+00  2.954299e-01  4.377221e-02 -1.419047e+02 
7.328514e+00  2.621045e-01 -2.636376e-01  3.479809e-01  1.088334e-01 -4.865068e+01  4.435149e-01  1.852800e+00  2.621045e-01  4.368584e-02 -1.418993e+02 
5.349433e+00  3.108440e-01 -2.634700e-01  3.482494e-01  1.073566e-01 -4.864907e+01  4.440755e-01  1.852249e+00  3.108440e-01  4.240971e-02 -1.419086e+02 
